Date,AAPL,GSPC,MSFT
2021-10-14,140.46957397460938,291.7349548339844,4438.259765625
2021-10-15,141.52488708496094,293.1417541503906,4471.3701171875
2021-10-18,143.1957550048828,296.1097412109375,4486.4599609375
2021-10-19,145.35513305664062,297.0155029296875,4519.6298828125
2021-10-20,145.8436737060547,296.22540283203125,4536.18994140625
2021-10-21,146.0586700439453,299.4534912109375,4549.77978515625
2021-10-22,145.28672790527344,297.91162109375,4544.89990234375
2021-10-25,145.23788452148438,296.9190979003906,4566.47998046875
2021-10-26,145.90234375,298.82708740234375,4574.7900390625
2021-10-27,145.44305419921875,311.41192626953125,4551.68017578125
2021-10-28,149.07791137695312,312.5490417480469,4596.419921875
2021-10-29,146.37130737304688,319.5545349121094,4605.3798828125
2021-11-01,145.55056762695312,317.3863525390625,4613.669921875
2021-11-02,146.58633422851562,321.0096435546875,4630.64990234375
2021-11-03,148.02264404296875,321.8479309082031,4660.56982421875
2021-11-04,147.50482177734375,324.19915771484375,4680.06005859375
2021-11-05,148.03318786621094,323.8330078125,4697.52978515625
2021-11-08,147.2112274169922,324.7291259765625,4701.7001953125
2021-11-09,147.5732879638672,323.7269592285156,4685.25
2021-11-10,144.74530029296875,318.7643737792969,4646.7099609375
2021-11-11,144.69639587402344,320.3349914550781,4649.27001953125
2021-11-12,146.7708740234375,324.4689636230469,4682.85009765625
2021-11-15,146.78067016601562,323.8426513671875,4682.7998046875
2021-11-16,147.7592010498047,327.15740966796875,4700.89990234375
2021-11-17,150.1957550048828,327.37939453125,4688.669921875
2021-11-18,154.48175048828125,329.4550476074219,4704.5400390625
2021-11-19,157.10423278808594,331.2313537597656,4697.9599609375
2021-11-22,157.5641326904297,328.06488037109375,4682.93994140625
2021-11-23,157.94580078125,325.9893493652344,4690.7001953125
2021-11-24,158.4644317626953,326.21148681640625,4701.4599609375
2021-11-26,153.4445037841797,318.26629638671875,4594.6201171875
2021-11-29,156.8009033203125,324.9756164550781,4655.27001953125
2021-11-30,161.7523193359375,319.1448059082031,4567.0
2021-12-01,161.2336883544922,318.6524353027344,4513.0400390625
2021-12-02,160.24533081054688,318.0828857421875,4577.10009765625
2021-12-03,158.3665313720703,311.82720947265625,4538.43017578125
2021-12-06,161.77186584472656,314.89715576171875,4591.669921875
2021-12-07,167.50613403320312,323.324951171875,4686.75
2021-12-08,171.3223876953125,323.3731384277344,4701.2099609375
2021-12-09,170.8135223388672,321.56793212890625,4667.4501953125
2021-12-10,175.59857177734375,330.6811218261719,4712.02001953125
2021-12-13,171.96826171875,327.6498107910156,4668.97021484375
2021-12-14,170.58851623535156,316.9727783203125,4634.08984375
2021-12-15,175.45184326171875,323.06427001953125,4709.85009765625
2021-12-16,168.5629119873047,313.6517639160156,4668.669921875
2021-12-17,167.4669647216797,312.58984375,4620.64013671875
2021-12-20,166.10678100585938,308.8345642089844,4568.02001953125
2021-12-21,169.27725219726562,315.9590759277344,4649.22998046875
2021-12-22,171.87037658691406,321.6645202636719,4696.56005859375
2021-12-23,172.49664306640625,323.10284423828125,4725.7900390625
2021-12-27,176.45973205566406,330.5941467285156,4791.18994140625
2021-12-28,175.44204711914062,329.4357604980469,4786.35009765625
2021-12-29,175.53009033203125,330.111572265625,4793.06005859375
2021-12-30,174.37539672851562,327.5725402832031,4778.72998046875
2021-12-31,173.7589874267578,324.6764221191406,4766.18017578125
2022-01-03,178.10365295410156,323.1607971191406,4796.56005859375
2022-01-04,175.84324645996094,317.6195373535156,4793.5400390625
2022-01-05,171.16583251953125,305.4267578125,4700.580078125
2022-01-06,168.30850219726562,303.0133056640625,4696.0498046875
2022-01-07,168.47486877441406,303.1677551269531,4677.02978515625
2022-01-10,168.49441528320312,303.3897705078125,4670.2900390625
2022-01-11,171.3223876953125,304.0751953125,4713.06982421875
2022-01-12,171.76275634765625,307.2512512207031,4726.35009765625
2022-01-13,168.49441528320312,294.2476501464844,4659.02978515625
2022-01-14,169.3555450439453,299.4607238769531,4662.85009765625
2022-01-18,166.1557159423828,292.1720886230469,4577.10986328125
2022-01-19,162.66233825683594,292.8285827636719,4532.759765625
2022-01-20,160.979248046875,291.1584167480469,4482.72998046875
2022-01-21,158.92430114746094,285.78125,4397.93994140625
2022-01-24,158.15127563476562,286.1094970703125,4410.1298828125
2022-01-25,156.35072326660156,278.5023498535156,4356.4501953125
2022-01-26,156.2626953125,286.4377746582031,4349.93017578125
2022-01-27,155.80279541015625,289.4593505859375,4326.509765625
2022-01-28,166.67437744140625,297.58782958984375,4431.85009765625
2022-01-31,171.02882385253906,300.21368408203125,4515.5498046875
2022-02-01,170.8625030517578,298.070556640625,4546.5400390625
2022-02-02,172.0660858154297,302.60784912109375,4589.3798828125
2022-02-03,169.189208984375,290.8205871582031,4477.43994140625
2022-02-04,168.90505981445312,295.3481750488281,4500.52978515625
2022-02-07,168.1898193359375,290.5309753417969,4483.8701171875
2022-02-08,171.2957000732422,294.0160217285156,4521.5400390625
2022-02-09,172.71640014648438,300.4357604980469,4587.18017578125
2022-02-10,168.64053344726562,291.91143798828125,4504.080078125
2022-02-11,165.23085021972656,284.82562255859375,4418.64013671875
2022-02-14,165.4659881591797,284.7869567871094,4401.669921875
2022-02-15,169.29696655273438,290.0675354003906,4471.06982421875
2022-02-16,169.0618133544922,289.72900390625,4475.009765625
2022-02-17,165.4659881591797,281.24505615234375,4380.259765625
2022-02-18,163.91795349121094,278.5364685058594,4348.8701171875
2022-02-22,160.99822998046875,278.3333435058594,4304.759765625
2022-02-23,156.83409118652344,271.1263427734375,4225.5
2022-02-24,159.4501495361328,284.9791259765625,4288.7001953125
2022-02-25,161.51747131347656,287.6104431152344,4384.64990234375
2022-02-28,161.7820281982422,289.04217529296875,4373.93994140625
2022-03-01,159.9008026123047,285.3274841308594,4306.259765625
2022-03-02,163.19290161132812,290.3965148925781,4386.5400390625
2022-03-03,162.86956787109375,286.26580810546875,4363.490234375
2022-03-04,159.87147521972656,280.4034729003906,4328.8701171875
2022-03-07,156.07968139648438,269.81072998046875,4201.08984375
2022-03-08,154.25726318359375,266.8505554199219,4170.7001953125
2022-03-09,159.6558837890625,279.0878601074219,4277.8798828125
2022-03-10,155.31546020507812,276.2728576660156,4259.52001953125
2022-03-11,151.60203552246094,270.93292236328125,4204.31005859375
2022-03-14,147.57516479492188,267.42132568359375,4173.10986328125
2022-03-15,151.95477294921875,277.78192138671875,4262.4501953125
2022-03-16,156.3638153076172,284.7856750488281,4357.85986328125
2022-03-17,157.37298583984375,285.5886535644531,4411.669921875
2022-03-18,160.66505432128906,290.6286315917969,4463.1201171875
2022-03-21,162.0367889404297,289.4000244140625,4461.18017578125
2022-03-22,165.40724182128906,294.14019775390625,4511.60986328125
2022-03-23,166.76914978027344,289.7193603515625,4456.240234375
2022-03-24,170.55108642578125,294.178955078125,4520.16015625
2022-03-25,171.1879425048828,293.77264404296875,4543.06005859375
2022-03-28,172.05015563964844,300.5636291503906,4575.52001953125
2022-03-29,175.34226989746094,305.1200256347656,4631.60009765625
2022-03-30,174.1763153076172,303.6204528808594,4602.4501953125
2022-03-31,171.08016967773438,298.2515563964844,4530.41015625
2022-04-01,170.78623962402344,299.3254089355469,4545.85986328125
2022-04-04,174.83274841308594,304.6943359375,4582.64013671875
2022-04-05,171.5210723876953,300.7377014160156,4525.1201171875
2022-04-06,168.3563690185547,289.72900390625,4481.14990234375
2022-04-07,168.66009521484375,291.5379333496094,4500.2099609375
2022-04-08,166.65159606933594,287.2816162109375,4488.27978515625
2022-04-11,162.39930725097656,275.9535827636719,4412.52978515625
2022-04-12,164.2706756591797,272.8579406738281,4397.4501953125
2022-04-13,166.95526123046875,278.2365417480469,4446.58984375
2022-04-14,161.94859313964844,270.7007751464844,4392.58984375
2022-04-18,161.73304748535156,271.36822509765625,4391.68994140625
2022-04-19,164.01593017578125,275.99224853515625,4462.2099609375
2022-04-20,163.84934997558594,277.0176696777344,4459.4501953125
2022-04-21,163.0557403564453,271.648681640625,4393.66015625
2022-04-22,158.51931762695312,265.0899353027344,4271.77978515625
2022-04-25,159.58731079101562,271.5616760253906,4296.1201171875
2022-04-26,153.6302032470703,261.4043273925781,4175.2001953125
2022-04-27,153.40487670898438,273.9801330566406,4183.9599609375
2022-04-28,160.3319091796875,280.1809997558594,4287.5
2022-04-29,154.46302795410156,268.4660949707031,4131.93017578125
2022-05-02,154.76678466796875,275.18939208984375,4155.3798828125
2022-05-03,156.25601196289062,272.58709716796875,4175.47998046875
2022-05-04,162.663818359375,280.5196228027344,4300.169921875
2022-05-05,153.600830078125,268.3016662597656,4146.8701171875
2022-05-06,154.32688903808594,265.7671813964844,4123.33984375
2022-05-09,149.20492553710938,255.94818115234375,3991.239990234375
2022-05-10,151.6089630126953,260.70770263671875,4001.050048828125
2022-05-11,143.7493133544922,252.0497283935547,3935.179931640625
2022-05-12,139.88331604003906,247.01939392089844,3930.080078125
2022-05-13,144.34786987304688,252.60116577148438,4023.889892578125
2022-05-16,142.80734252929688,252.96873474121094,4008.010009765625
2022-05-17,146.43789672851562,258.115234375,4088.85009765625
2022-05-18,138.17599487304688,246.36326599121094,3923.679931640625
2022-05-19,134.77113342285156,245.4518280029297,3900.7900390625
2022-05-20,135.0066375732422,244.88943481445312,3901.360107421875
2022-05-23,140.42298889160156,252.7337188720703,3973.75
2022-05-24,137.724609375,251.73500061035156,3941.47998046875
2022-05-25,137.88162231445312,254.54693603515625,3978.72998046875
2022-05-26,141.08038330078125,257.8242492675781,4057.840087890625
2022-05-27,146.8303680419922,264.9413146972656,4158.240234375
2022-05-31,146.04534912109375,263.61297607421875,4132.14990234375
2022-06-01,145.9178466796875,264.14630126953125,4101.22998046875
2022-06-02,148.37091064453125,266.24066162109375,4176.81982421875
2022-06-03,142.65037536621094,261.8191223144531,4108.5400390625
2022-06-06,143.39608764648438,260.58770751953125,4121.43017578125
2022-06-07,145.9178466796875,264.2238464355469,4160.68017578125
2022-06-08,145.18194580078125,262.1972961425781,4115.77001953125
2022-06-09,139.96180725097656,256.748046875,4017.820068359375
2022-06-10,134.5552520751953,245.3063507080078,3900.860107421875
2022-06-13,129.40383911132812,234.9022674560547,3749.6298828125
2022-06-14,130.267333984375,237.06454467773438,3735.47998046875
2022-06-15,132.88719177246094,244.11370849609375,3789.989990234375
2022-06-16,127.61798858642578,237.5299530029297,3666.77001953125
2022-06-17,129.08982849121094,240.12855529785156,3674.840087890625
2022-06-21,133.3189239501953,246.0336151123047,3764.7900390625
2022-06-22,132.80865478515625,245.442138671875,3759.889892578125
2022-06-23,135.67385864257812,250.9980926513672,3795.72998046875
2022-06-24,139.00022888183594,259.56964111328125,3911.739990234375
2022-06-27,139.00022888183594,256.8449401855469,3900.110107421875
2022-06-28,134.8594512939453,248.6903839111328,3821.550048828125
2022-06-29,136.6158447265625,252.3555908203125,3818.830078125
2022-06-30,134.15298461914062,249.02975463867188,3785.3798828125
2022-07-01,136.3214569091797,251.6961669921875,3825.330078125
2022-07-05,138.90206909179688,254.86695861816406,3831.389892578125
2022-07-06,140.23654174804688,258.1248474121094,3845.080078125
2022-07-07,143.60214233398438,260.248291015625,3902.6201171875
2022-07-08,144.27919006347656,259.53082275390625,3899.3798828125
2022-07-11,142.14991760253906,256.4765319824219,3854.429931640625
2022-07-12,143.121337890625,245.96568298339844,3818.800048828125
2022-07-13,142.75831604003906,245.04457092285156,3801.780029296875
2022-07-14,145.68234252929688,246.36326599121094,3790.3798828125
2022-07-15,147.35043334960938,248.92306518554688,3863.159912109375
2022-07-18,144.30862426757812,246.52810668945312,3830.85009765625
2022-07-19,148.16482543945312,251.64772033691406,3936.68994140625
2022-07-20,150.16651916503906,254.30453491210938,3959.89990234375
2022-07-21,152.4331817626953,256.7964782714844,3998.949951171875
2022-07-22,151.19680786132812,252.45249938964844,3961.6298828125
2022-07-25,150.0782012939453,250.968994140625,3966.840087890625
2022-07-26,148.7536163330078,244.24945068359375,3921.050048828125
2022-07-27,153.84613037109375,260.5780029296875,4023.610107421875
2022-07-28,154.39561462402344,268.0151062011719,4072.429931640625
2022-07-29,159.45875549316406,272.213623046875,4130.2900390625
2022-08-01,158.47750854492188,269.56646728515625,4118.6298828125
2022-08-02,157.00564575195312,266.4733581542969,4091.18994140625
2022-08-03,163.0107421875,273.8909912109375,4155.169921875
2022-08-04,162.69679260253906,275.03515625,4151.93994140625
2022-08-05,162.47080993652344,274.3176574707031,4145.18994140625
2022-08-08,161.99913024902344,271.8063659667969,4140.06005859375
2022-08-09,162.04823303222656,273.7261657714844,4122.47021484375
2022-08-10,166.29302978515625,280.3778381347656,4210.240234375
2022-08-11,165.55609130859375,278.3027648925781,4207.27001953125
2022-08-12,169.10325622558594,283.0443115234375,4280.14990234375
2022-08-15,170.17428588867188,284.5569763183594,4297.14013671875
2022-08-16,170.01705932617188,283.820068359375,4305.2001953125
2022-08-17,171.51058959960938,283.07177734375,4274.0400390625
2022-08-18,171.11752319335938,281.954345703125,4283.740234375
2022-08-19,168.53334045410156,278.04815673828125,4228.47998046875
2022-08-22,164.65211486816406,269.8861083984375,4137.990234375
2022-08-23,164.31800842285156,268.61309814453125,4128.72998046875
2022-08-24,164.6128387451172,267.9815368652344,4140.77001953125
2022-08-25,167.0692901611328,270.9549255371094,4199.1201171875
2022-08-26,160.77090454101562,260.49957275390625,4057.659912109375
2022-08-29,158.56991577148438,257.7205505371094,4030.610107421875
2022-08-30,156.1428985595703,255.52444458007812,3986.159912109375
2022-08-31,154.4823455810547,254.06698608398438,3955.0
2022-09-01,155.20945739746094,253.02725219726562,3966.85009765625
2022-09-02,153.0968780517578,248.81016540527344,3924.260009765625
2022-09-06,151.83917236328125,246.07968139648438,3908.18994140625
2022-09-07,153.24427795410156,250.78265380859375,3979.8701171875
2022-09-08,151.7704315185547,251.2005157470703,4006.179931640625
2022-09-09,154.6297607421875,256.9722900390625,4067.360107421875
2022-09-12,160.58419799804688,259.1003112792969,4110.41015625
2022-09-13,151.16119384765625,244.85537719726562,3932.68994140625
